stationID,time_cut,inNums,outNums,weekday
0,2,1,2,5
0,33,2,0,5
0,34,8,0,5
0,35,14,2,5
0,36,15,0,5
0,37,21,0,5
0,38,13,0,5
0,39,43,58,5
0,40,54,31,5
0,41,74,16,5
0,42,94,20,5
0,43,119,25,5
0,44,121,30,5
0,45,152,33,5
0,46,166,48,5
0,47,185,37,5
0,48,174,33,5
0,49,194,44,5
0,50,186,51,5
0,51,201,87,5
0,52,140,82,5
0,53,127,72,5
0,54,198,74,5
0,55,158,61,5
0,56,164,81,5
0,57,144,97,5
0,58,133,71,5
0,59,133,63,5
0,60,148,75,5
0,61,107,68,5
0,62,146,80,5
0,63,119,71,5
0,64,98,62,5
0,65,95,88,5
0,66,126,58,5
0,67,99,81,5
0,68,86,102,5
0,69,73,72,5
0,70,80,72,5
0,71,68,61,5
0,72,87,86,5
0,73,102,76,5
0,74,109,114,5
0,75,89,77,5
0,76,95,76,5
0,77,102,94,5
0,78,88,87,5
0,79,100,102,5
0,80,88,81,5
0,81,106,79,5
0,82,116,83,5
0,83,86,102,5
0,84,109,83,5
0,85,97,100,5
0,86,75,101,5
0,87,78,112,5
0,88,72,120,5
0,89,75,129,5
0,90,72,119,5
0,91,66,94,5
0,92,81,141,5
0,93,71,87,5
0,94,59,136,5
0,95,92,99,5
0,96,50,139,5
0,97,91,122,5
0,98,76,124,5
0,99,61,144,5
0,100,90,108,5
0,101,94,123,5
0,102,67,106,5
0,103,108,145,5
0,104,101,121,5
0,105,86,100,5
0,106,89,135,5
0,107,74,119,5
0,108,78,134,5
0,109,63,88,5
0,110,54,145,5
0,111,70,74,5
0,112,33,127,5
0,113,38,77,5
0,114,37,78,5
0,115,39,81,5
0,116,38,56,5
0,117,39,62,5
0,118,36,91,5
0,119,42,107,5
0,120,35,72,5
0,121,25,46,5
0,122,20,74,5
0,123,28,56,5
0,124,20,90,5
0,125,16,87,5
0,126,20,57,5
0,127,26,79,5
0,128,25,75,5
0,129,20,53,5
0,130,18,60,5
0,131,10,52,5
0,132,10,52,5
0,133,11,52,5
0,134,17,32,5
0,135,9,37,5
0,136,4,37,5
0,137,0,42,5
0,138,0,27,5
0,139,0,20,5
0,140,0,22,5
0,141,0,10,5
0,142,0,12,5
0,143,0,4,5
1,34,2,0,5
1,35,4,0,5
1,36,6,0,5
1,37,9,0,5
1,38,15,11,5
1,39,20,6,5
1,40,30,5,5
1,41,43,5,5
1,42,41,3,5
1,43,58,5,5
1,44,86,16,5
1,45,87,8,5
1,46,88,22,5
1,47,95,18,5
1,48,113,24,5
1,49,159,20,5
1,50,150,27,5
1,51,139,31,5
1,52,126,51,5
1,53,105,25,5
1,54,111,33,5
1,55,107,12,5
1,56,97,27,5
1,57,120,25,5
1,58,97,23,5
1,59,70,20,5
1,60,77,28,5
1,61,71,34,5
1,62,76,29,5
1,63,85,27,5
1,64,78,33,5
1,65,55,29,5
1,66,87,27,5
1,67,64,34,5
1,68,46,20,5
1,69,51,37,5
1,70,42,39,5
1,71,48,26,5
1,72,76,46,5
1,73,66,30,5
1,74,55,47,5
1,75,63,18,5
1,76,63,34,5
1,77,63,36,5
1,78,54,36,5
1,79,59,42,5
1,80,63,51,5
1,81,74,37,5
1,82,88,26,5
1,83,54,49,5
1,84,68,21,5
1,85,67,59,5
1,86,51,25,5
1,87,56,48,5
1,88,49,37,5
1,89,48,36,5
1,90,47,63,5
1,91,57,40,5
1,92,44,46,5
1,93,47,37,5
1,94,38,58,5
1,95,44,58,5
1,96,46,72,5
1,97,45,68,5
1,98,56,73,5
1,99,62,66,5
1,100,39,79,5
1,101,56,84,5
1,102,45,57,5
1,103,66,94,5
1,104,53,57,5
1,105,39,96,5
1,106,73,88,5
1,107,56,128,5
1,108,52,101,5
1,109,43,71,5
1,110,47,119,5
1,111,44,76,5
1,112,28,110,5
1,113,31,66,5
1,114,34,113,5
1,115,22,47,5
1,116,39,96,5
1,117,16,89,5
1,118,23,81,5
1,119,23,81,5
1,120,15,46,5
1,121,26,71,5
1,122,20,75,5
1,123,13,103,5
1,124,23,92,5
1,125,18,80,5
1,126,15,79,5
1,127,18,82,5
1,128,19,122,5
1,129,20,88,5
1,130,12,70,5
1,131,12,65,5
1,132,8,82,5
1,133,5,80,5
1,134,8,74,5
1,135,12,57,5
1,136,2,43,5
1,137,3,75,5
1,138,0,27,5
1,139,2,36,5
1,140,2,34,5
1,141,0,26,5
1,142,0,14,5
2,34,10,0,5
2,35,16,0,5
2,36,17,0,5
2,37,26,0,5
2,38,29,15,5
2,39,38,11,5
2,40,61,9,5
2,41,73,7,5
2,42,83,15,5
2,43,82,34,5
2,44,131,31,5
2,45,157,34,5
2,46,166,82,5
2,47,186,141,5
2,48,206,120,5
2,49,205,139,5
2,50,220,292,5
2,51,242,340,5
2,52,208,218,5
2,53,182,198,5
2,54,179,126,5
2,55,185,190,5
2,56,203,117,5
2,57,187,149,5
2,58,194,103,5
2,59,132,135,5
2,60,147,113,5
2,61,151,78,5
2,62,144,115,5
2,63,136,68,5
2,64,162,99,5
2,65,117,76,5
2,66,153,92,5
2,67,130,84,5
2,68,141,118,5
2,69,147,82,5
2,70,136,57,5
2,71,143,102,5
2,72,132,80,5
2,73,156,112,5
2,74,162,66,5
2,75,160,128,5
2,76,152,109,5
2,77,148,108,5
2,78,180,83,5
2,79,164,81,5
2,80,168,105,5
2,81,162,68,5
2,82,162,114,5
2,83,173,72,5
2,84,134,117,5
2,85,150,76,5
2,86,155,133,5
2,87,150,123,5
2,88,115,127,5
2,89,106,100,5
2,90,122,84,5
2,91,145,156,5
2,92,141,109,5
2,93,114,142,5
2,94,102,131,5
2,95,107,152,5
2,96,117,131,5
2,97,137,211,5
2,98,147,184,5
2,99,120,144,5
2,100,128,172,5
2,101,159,135,5
2,102,141,196,5
2,103,156,189,5
2,104,194,226,5
2,105,212,177,5
2,106,224,234,5
2,107,244,186,5
2,108,199,185,5
2,109,240,219,5
2,110,229,196,5
2,111,188,217,5
2,112,223,161,5
2,113,153,209,5
2,114,108,146,5
2,115,133,170,5
2,116,116,163,5
2,117,100,121,5
2,118,61,145,5
2,119,64,141,5
2,120,75,117,5
2,121,67,182,5
2,122,83,142,5
2,123,47,161,5
2,124,74,162,5
2,125,68,160,5
2,126,47,195,5
2,127,39,183,5
2,128,63,169,5
2,129,64,138,5
2,130,43,180,5
2,131,43,131,5
2,132,39,148,5
2,133,40,111,5
2,134,42,116,5
2,135,21,131,5
2,136,20,99,5
2,137,7,108,5
2,138,6,102,5
2,139,3,61,5
2,140,1,28,5
2,141,2,43,5
2,142,1,15,5
3,1,1,0,5
3,3,1,1,5
3,34,3,0,5
3,35,17,0,5
3,36,22,1,5
3,37,21,0,5
3,38,14,6,5
3,39,23,3,5
3,40,38,7,5
3,41,56,6,5
3,42,70,9,5
3,43,92,14,5
3,44,121,11,5
3,45,135,30,5
3,46,153,34,5
3,47,166,30,5
3,48,191,39,5
3,49,183,58,5
3,50,206,109,5
3,51,190,78,5
3,52,179,143,5
3,53,169,78,5
3,54,151,75,5
3,55,153,82,5
3,56,153,70,5
3,57,144,83,5
3,58,137,89,5
3,59,137,58,5
3,60,142,44,5
3,61,134,92,5
3,62,97,65,5
3,63,119,94,5
3,64,130,70,5
3,65,106,83,5
3,66,117,65,5
3,67,137,75,5
3,68,101,124,5
3,69,105,87,5
3,70,110,121,5
3,71,120,61,5
3,72,113,88,5
3,73,118,61,5
3,74,150,84,5
3,75,129,87,5
3,76,160,107,5
3,77,156,62,5
3,78,139,76,5
3,79,149,101,5
3,80,138,75,5
3,81,152,110,5
3,82,113,66,5
3,83,121,84,5
3,84,142,82,5
3,85,141,92,5
3,86,138,71,5
3,87,114,100,5
3,88,127,98,5
3,89,127,95,5
3,90,96,131,5
3,91,109,90,5
3,92,104,129,5
3,93,116,100,5
3,94,98,158,5
3,95,104,103,5
3,96,147,158,5
3,97,102,177,5
3,98,124,115,5
3,99,130,161,5
3,100,117,133,5
3,101,131,180,5
3,102,99,136,5
3,103,152,201,5
3,104,124,162,5
3,105,150,164,5
3,106,144,230,5
3,107,108,186,5
3,108,117,219,5
3,109,134,158,5
3,110,143,203,5
3,111,142,177,5
3,112,95,150,5
3,113,78,167,5
3,114,79,121,5
3,115,80,136,5
3,116,54,108,5
3,117,89,132,5
3,118,78,177,5
3,119,54,113,5
3,120,48,126,5
3,121,67,113,5
3,122,63,143,5
3,123,65,123,5
3,124,71,151,5
3,125,74,142,5
3,126,74,153,5
3,127,93,160,5
3,128,57,159,5
3,129,53,129,5
3,130,67,115,5
3,131,43,98,5
3,132,36,113,5
3,133,58,171,5
3,134,31,85,5
3,135,38,87,5
3,136,26,98,5
3,137,6,90,5
3,138,4,64,5
3,139,1,51,5
3,140,1,39,5
3,141,2,14,5
3,142,0,17,5
4,1,2,0,5
4,2,1,3,5
4,7,3,1,5
4,9,2,1,5
4,10,0,1,5
4,17,1,0,5
4,24,0,1,5
4,25,2,0,5
4,26,0,4,5
4,31,1,0,5
4,34,9,0,5
4,35,25,0,5
4,36,35,1,5
4,37,17,0,5
4,38,23,34,5
4,39,48,22,5
4,40,40,29,5
4,41,54,41,5
4,42,66,47,5
4,43,100,58,5
4,44,112,75,5
4,45,138,153,5
4,46,137,188,5
4,47,190,155,5
4,48,209,233,5
4,49,178,342,5
4,50,192,503,5
4,51,199,627,5
4,52,235,597,5
4,53,178,559,5
4,54,215,347,5
4,55,179,436,5
4,56,175,462,5
4,57,190,381,5
4,58,170,479,5
4,59,156,412,5
4,60,166,409,5
4,61,139,326,5
4,62,144,381,5
4,63,192,272,5
4,64,165,339,5
4,65,153,282,5
4,66,187,225,5
4,67,176,319,5
4,68,158,186,5
4,69,187,271,5
4,70,216,241,5
4,71,172,264,5
4,72,188,174,5
4,73,182,269,5
4,74,233,207,5
4,75,225,264,5
4,76,236,239,5
4,77,242,244,5
4,78,219,290,5
4,79,250,200,5
4,80,248,315,5
4,81,239,206,5
4,82,249,260,5
4,83,246,220,5
4,84,284,243,5
4,85,209,252,5
4,86,236,222,5
4,87,249,261,5
4,88,257,190,5
4,89,219,314,5
4,90,272,231,5
4,91,244,301,5
4,92,273,182,5
4,93,241,283,5
4,94,249,292,5
4,95,240,221,5
4,96,272,280,5
4,97,342,195,5
4,98,277,323,5
4,99,348,243,5
4,100,360,327,5
4,101,319,261,5
4,102,409,366,5
4,103,473,346,5
4,104,446,306,5
4,105,464,377,5
4,106,549,277,5
4,107,490,403,5
4,108,485,296,5
4,109,574,321,5
4,110,398,236,5
4,111,469,341,5
4,112,365,244,5
4,113,345,271,5
4,114,338,270,5
4,115,290,171,5
4,116,279,188,5
4,117,242,212,5
4,118,271,205,5
4,119,225,188,5
4,120,236,166,5
4,121,261,159,5
4,122,257,174,5
4,123,295,174,5
4,124,255,219,5
4,125,258,145,5
4,126,258,230,5
4,127,279,153,5
4,128,248,191,5
4,129,197,156,5
4,130,212,170,5
4,131,182,173,5
4,132,192,128,5
4,133,217,120,5
4,134,150,112,5
4,135,139,147,5
4,136,126,114,5
4,137,53,103,5
4,138,24,76,5
4,139,6,63,5
4,140,8,23,5
4,141,12,39,5
4,142,0,7,5
5,0,12,2,5
5,1,4,2,5
5,2,4,3,5
5,3,0,2,5
5,4,5,0,5
5,5,6,1,5
5,7,1,1,5
5,8,1,1,5
5,9,0,5,5
5,15,2,2,5
5,20,1,6,5
5,25,2,0,5
5,26,1,1,5
5,27,3,5,5
5,33,1,1,5
5,34,2,1,5
5,35,8,0,5
5,36,23,4,5
5,37,11,5,5
5,38,25,5,5
5,39,31,22,5
5,40,38,21,5
5,41,49,20,5
5,42,44,35,5
5,43,66,63,5
5,44,57,79,5
5,45,88,154,5
5,46,105,205,5
5,47,109,180,5
5,48,135,211,5
5,49,143,221,5
5,50,135,239,5
5,51,147,254,5
5,52,147,264,5
5,53,140,311,5
5,54,128,172,5
5,55,133,219,5
5,56,114,168,5
5,57,142,217,5
5,58,140,176,5
5,59,121,205,5
5,60,145,130,5
5,61,154,167,5
5,62,126,174,5
5,63,114,159,5
5,64,129,152,5
5,65,131,103,5
5,66,116,114,5
5,67,140,134,5
5,68,161,146,5
5,69,138,157,5
5,70,142,111,5
5,71,147,158,5
5,72,193,132,5
5,73,158,154,5
5,74,190,118,5
5,75,370,198,5
5,76,211,169,5
5,77,133,185,5
5,78,150,159,5
5,79,175,180,5
5,80,163,179,5
5,81,136,182,5
5,82,143,167,5
5,83,157,148,5
5,84,187,154,5
5,85,176,149,5
5,86,152,136,5
5,87,167,180,5
5,88,142,146,5
5,89,246,201,5
5,90,204,143,5
5,91,201,164,5
5,92,183,162,5
5,93,203,190,5
5,94,168,160,5
5,95,201,169,5
5,96,191,138,5
5,97,219,160,5
5,98,189,158,5
5,99,166,175,5
5,100,184,205,5
5,101,195,198,5
5,102,206,209,5
5,103,241,172,5
5,104,160,262,5
5,105,230,252,5
5,106,211,228,5
5,107,210,225,5
5,108,269,174,5
5,109,270,205,5
5,110,200,134,5
5,111,149,163,5
5,112,153,104,5
5,113,157,147,5
5,114,132,94,5
5,115,148,152,5
5,116,118,100,5
5,117,113,91,5
5,118,141,80,5
5,119,148,89,5
5,120,195,105,5
5,121,194,76,5
5,122,180,154,5
5,123,178,98,5
5,124,149,94,5
5,125,125,116,5
5,126,169,128,5
5,127,141,125,5
5,128,130,112,5
5,129,128,94,5
5,130,80,81,5
5,131,59,76,5
5,132,70,101,5
5,133,72,60,5
5,134,52,95,5
5,135,39,63,5
5,136,45,53,5
5,137,34,48,5
5,138,24,52,5
5,139,10,61,5
5,140,5,22,5
5,141,3,11,5
5,142,0,1,5
5,143,0,1,5
6,0,1,0,5
6,1,0,1,5
6,2,1,1,5
6,27,1,1,5
6,34,4,0,5
6,35,11,0,5
6,36,28,2,5
6,37,26,5,5
6,38,15,8,5
6,39,25,18,5
6,40,22,34,5
6,41,37,31,5
6,42,41,37,5
6,43,46,36,5
6,44,83,55,5
6,45,86,82,5
6,46,96,80,5
6,47,93,58,5
6,48,101,64,5
6,49,109,75,5
6,50,76,101,5
6,51,149,69,5
6,52,113,122,5
6,53,108,105,5
6,54,91,106,5
6,55,104,76,5
6,56,104,96,5
6,57,92,80,5
6,58,90,109,5
6,59,112,81,5
6,60,122,79,5
6,61,86,94,5
6,62,85,106,5
6,63,98,120,5
6,64,78,86,5
6,65,79,115,5
6,66,87,90,5
6,67,101,95,5
6,68,80,85,5
6,69,102,76,5
6,70,86,81,5
6,71,87,92,5
6,72,99,114,5
6,73,94,89,5
6,74,104,124,5
6,75,122,95,5
6,76,113,90,5
6,77,109,107,5
6,78,96,82,5
6,79,110,109,5
6,80,108,85,5
6,81,102,129,5
6,82,121,81,5
6,83,105,106,5
6,84,108,66,5
6,85,105,110,5
6,86,117,114,5
6,87,99,87,5
6,88,108,105,5
6,89,126,88,5
